pkg_name,year,downloads
catboost,2023,27121259
catboost,2024,31313015
catboost,2025,45035151
cuml,2023,22181
cuml,2024,37229
cuml,2025,40425
lightgbm,2023,77404905
lightgbm,2024,107774752
lightgbm,2025,128359114
scikit-learn,2023,480011649
scikit-learn,2024,851727956
scikit-learn,2025,1428034392
tensorflow,2023,200463503
tensorflow,2024,247139552
tensorflow,2025,284185267
pytorch,2023,140857666
pytorch,2024,360688186
pytorch,2025,684135960
py-xgboost,2023,119483322
py-xgboost,2024,254514996
py-xgboost,2025,351767023
